created_at,actor_attributes_login,actor_attributes_gravatar_id
2012-08-07 18:49:32,kenneth,26d29d47243fec2ce36b7f608af2ec05
2012-10-09 12:29:47,weldan,532fcd00d2ce7b78107d4b5e7d468573
2012-05-17 01:16:54,paulsingh,fdd88e6d1edb1a9a8156c7eab2a03157
2012-06-02 12:21:02,frodo81,60dc672b10e746c1b0dda98382f0238f
2013-09-03 06:54:16,zzxadi,48e40ed07b74db8157765b3be7c7eb68
2012-12-08 20:32:07,italoag,225f5673bb6e2b0e4d0f4679151e1222
2012-07-26 15:16:23,Simbyotic,837c2b6d947e9edb6d7beccbbf81ce7a
2013-03-12 04:05:07,captn3m0,620d0eb7fcb87b272b387cf33e4ed314
2012-06-02 12:21:02,frodo81,60dc672b10e746c1b0dda98382f0238f
2012-05-03 18:32:13,Meroje,1e0e67deac417601b3ebb8f530a7f923
2013-10-30 01:52:29,vincentbarr,f41b7c019da67bb267f3d17521127581
2012-08-25 09:05:02,mihaisoloi,00d6c842676ee45d12c5ff42d5fb1f74
2013-02-27 15:23:37,chondur,57f5654fa5ce06a73f94d36fc53b9cf7
2012-04-29 09:09:35,jlwestsr,be041ec275334e9caa6deda1cd6eeb3b
2012-04-13 16:46:37,mlr4,a8196df93a7c9d37464e03c22bbf8f33
2012-05-25 11:05:54,constantinoneto,48fba128061c6f519aa63deaf7e8ff4e
2012-06-01 08:08:12,lgs,9c7d80ebc20ab8994e51b9f7518909ae
2013-04-28 03:14:50,MichaelWiss,19908b84aa4676c8a5c1ffefa909e08f
2013-04-28 03:32:08,gregclinton,c188f080b49077a1fdff747ab841d5f9
2013-04-28 03:52:14,arunenigma,3e6575e906e652911857b38c02d4ec3a
2012-04-15 19:11:29,raysito,16c86f6ca54dab40e15c338a90539992
2012-10-08 19:12:06,willklein,1293f6adbe6e4616c1ea50c3a30bfcbf
2013-05-21 09:45:48,bicherele,dae01e05abd71aa4c44282e35002ba47
2012-08-30 15:40:42,benbien,495eeb5a0dcc6c7793e28d28ad01c395
2013-04-21 14:28:06,sinetris,3d6e548fa413cb093009599b24ff51d6
2013-02-23 19:34:29,bamos,2007e7604430cf1a2848e34be4fe3109
2012-08-31 21:52:49,andrewdc,b75421151f74eec78ba3bab775398a27
2012-05-23 08:50:11,davyjones,a6a40e2b3ee109bb16017e225b0a8c14
2013-04-02 11:48:57,lululai,a52527ff70a58464e04f0972bf5e6128
2013-10-25 16:31:03,ziyangli,36e57bae9e4a160859de398bd26d614a
2012-06-09 13:13:46,Sannis,5d2c97b75b1c346bb2bb6c756b587479
2013-11-14 12:31:51,threejs-cn,01cd71527cd38727b77a3d93e0818e1b
2012-11-15 08:12:32,design48,3ae6de27bfeb80acbecc2587763750d9
2012-05-10 23:00:45,anthonybrown,2af4ea9bb6380b59d05d2b9b6d8112e9
2013-04-29 17:33:12,TheNephalim,b2679230e3023be40d295ca1dec73dd7
2012-07-18 19:06:18,dhulihan,d7e09ccb61a0907084bfb5c05bd3af8b
2012-08-30 15:40:42,benbien,495eeb5a0dcc6c7793e28d28ad01c395
2012-08-25 01:34:58,djShrek,b413f43521ee001167b01ab608a9dc43
2012-08-28 02:45:25,pakchoi,271831596bb3888c9da2e649205cede7
2013-07-24 17:42:13,johnarndt,d41d8cd98f00b204e9800998ecf8427e
2012-04-26 06:44:59,justindocanto,fdb388d81baa2b57440bec4cb94c90f0
2012-09-28 23:47:28,brandonparsons,ff684669b5b5c40aa365d11bd889b519
2012-09-21 05:47:30,bobchow,1df059127b05d00385c48ef56a07c887
2012-04-27 09:10:44,lanqy,886634423e6ea0188f9ac7da2cca5263
2013-09-10 15:50:37,shanghui,0697e18ab5a826960541c208c5cdc790
2012-04-25 06:01:56,oziks,4e04492a4db345a75ea50772d401b9a7
2013-08-30 19:08:03,cancerhermit,9be6dcfe3820b88a23001e4758ca6703
2013-10-08 10:52:05,padillla,1eba6a703a3909f93453641f8136edee
2012-04-29 09:09:35,jlwestsr,be041ec275334e9caa6deda1cd6eeb3b
2012-04-15 09:36:24,Hinc,679849f8d09761833faaa2935d4a6b7a
2012-05-10 23:00:45,anthonybrown,2af4ea9bb6380b59d05d2b9b6d8112e9
2012-09-04 14:10:50,od3n,a38461e0881221f87da40ee2c31c028e
2012-07-13 21:07:44,shawnps,dbeddf6d60f3622c7aced47c131e892b
2012-04-13 16:46:37,mlr4,a8196df93a7c9d37464e03c22bbf8f33
2012-12-11 11:27:53,bigdreamstudio,9e3be6c9d4ceba502f356a070266f59a
2012-08-30 21:19:18,xiaominglui,6fe6a00171aa9fd6648adec63120b428
2013-01-03 15:44:43,csjaba,487684504c90d530bc674ea554acb9c5
2012-04-07 18:20:46,nimbu,5e9bf3cca6e02a41f9d520889a8c6bb9
2012-10-25 09:44:07,meandavejustice,41a8bde5408bd00c48a2800ec5223849
2012-08-12 10:14:21,bernardoantunes,fc2669f76357a4c34874220f16d832dd
2012-12-03 03:03:42,aboutaaron,821e34ba1be557547dd449463ddf4d24
2012-05-10 20:35:34,sciamp,a969d21ffd8784f7643ddc21094f1026
2012-08-25 01:34:58,djShrek,b413f43521ee001167b01ab608a9dc43
2012-08-28 02:45:25,pakchoi,271831596bb3888c9da2e649205cede7
2013-01-23 15:00:55,ramnathv,5cf92204cc3691d9a5155632012d8644
2012-09-07 16:56:16,atomyard,4537238a5c4be5e3e647b3a0038f2c65
2012-06-05 05:18:54,Tassandar,c28921a9c31f19a6973f9ebe1c523ff6
2012-12-02 21:37:00,bongofury,a16db32a1f48b6326d53527bcbbcc185
2012-07-27 06:16:59,gmanley,90c138f8a2c8f417ed34adae25c59652
2013-06-15 20:17:26,tedder,65a46073045999340b7897b16ad7bee1
2013-10-20 09:59:29,Hitata,46ca1c3425e26374509f653e45aa809e
2012-04-18 13:22:34,zx1986,3181e5b8bc041593b6f481f137e461ad
2013-03-03 10:59:12,AbhishekBiswal,0271250f31a4f9e1675570440f857329
2012-08-25 09:05:02,mihaisoloi,00d6c842676ee45d12c5ff42d5fb1f74
2012-04-23 20:53:12,chrisfinazzo,955a3b84c237ea58f3da1a2ac6a618fe
2013-03-15 07:48:14,allengaller,283ab0c880457e8712cda0e2cb5ac54e
2012-09-03 12:53:07,linpengxuan,a00c24a493b727915e9fb403bf29fbe4
2013-07-30 20:09:49,AnnaMarieWoodard,6b4217e8700a8b58bd097c967b0912c1
2013-07-30 09:40:37,ssdr,d861ed42ce3ac76b3ab14494aa7dab09
2012-04-01 01:51:29,volca,cf3c11895649577afd1a7bef4277baf5
2012-04-01 06:15:43,CrazyApi,364381247cce0674fd9ec86907a2f919
2012-07-04 12:17:50,oziks,4e04492a4db345a75ea50772d401b9a7
2012-08-25 09:05:02,mihaisoloi,00d6c842676ee45d12c5ff42d5fb1f74
2012-06-05 01:06:34,alxjrvs,8291618e07fb1a7885ae38827d9bdb5c
2012-04-29 09:09:35,jlwestsr,be041ec275334e9caa6deda1cd6eeb3b
2013-03-10 05:46:16,MrNerverDie,83ce751abd4b5cf94b69d3685d6a5b96
2012-05-17 01:16:54,paulsingh,fdd88e6d1edb1a9a8156c7eab2a03157
2012-12-15 16:06:18,lym,3e92dff716fefa6d7bb7397cf34d4529
2012-08-16 11:52:05,aledista,f53a7cbb2d9d9029119929fa449522ae
2013-03-02 06:59:27,sger,c098688b61bf3d3f2d65d903521b0b1d
2012-10-15 23:19:13,danarbaugh,4549cf66afc5f0b7825e1e8e4cbef27e
2012-11-20 15:38:11,skopp,74c714225754481aabee8ab22408cd2d
2012-11-10 22:35:59,sevendoors,56de317b88afa9abd0e7be5dca4398fa
2012-11-12 05:51:39,revathskumar,fb7edc7cc7a53c903af74d07dcecf9dc
2013-06-17 10:35:03,hayesSwing,de4feb1f74c90e520793f2a1017dea8f
2012-05-27 08:37:47,davidchen007,b213707b2fdedeacf904335b540f1e8f
2012-10-07 23:20:26,jacobmgreer,698330a3618700144fc4f8d1ec481422
2013-10-01 08:56:10,colmarius,90dde59d05e81a23ca419dcec58771a0
2012-04-26 06:44:59,justindocanto,fdb388d81baa2b57440bec4cb94c90f0
2012-04-16 14:05:46,chendeshen,48a6837ef22061c45acb8445a638a6f2
2012-06-09 13:13:46,Sannis,5d2c97b75b1c346bb2bb6c756b587479
2012-07-26 15:16:23,Simbyotic,837c2b6d947e9edb6d7beccbbf81ce7a
2012-08-05 19:04:54,talha131,a64dc93c5a8cd702b7bdfeca9f1a384f
2012-08-05 19:27:47,openpencil,e62d334e0f2e850e1ed3055348f01be5
2013-06-08 00:49:41,allthelucky,c5348de15d806207a9cd1b5f731124d6
2012-12-06 15:14:53,Wilbeibi,94aabece6f52d6c421866d2499cc1d8d
2012-04-16 14:05:46,chendeshen,48a6837ef22061c45acb8445a638a6f2
2013-02-26 13:41:55,linychuo,09abc35606e3d091db0561e9a235eb41
2013-01-26 11:17:34,Dannyzen,47d63e072333451a598d3e9f8ebe9d9a
2012-07-13 21:07:44,shawnps,dbeddf6d60f3622c7aced47c131e892b
2012-07-08 01:53:58,okigan,2759564b35f9c193d10f249fc10e13b3
2012-08-08 05:48:59,enoex,87c4cc25734dad0929929929db4317e0
2012-07-19 23:29:55,patrickt010,69de3badfe38e44e33601cea057dcb81
